72.7	175.7
65.6	192.6
79.9	183.3
74.5	159.2
76.4	149.5
64	237.6
64	69.4
81.3	144.1
78.3	92.7
-14.4	15
-60.8	15.9
-62	345.1
-68.7	358.2
-59.1	0.6
-66.2	10.1
-70.6	356.6
-60.9	58.2
52.5	195.1
67.4	165.3
73.4	142.8
60.7	177
62	186
64.2	178.1
64.5	188.1
57.1	190.3
55.5	180.5
59.8	175
58.5	185.1
60.6	188
58.7	186.7
88.4	106.2
77.3	219.9
77.1	221.2
80.9	251.2
78.3	232.9
74.4	203.1
64.6	215.7
-67.3	356.6
-69.9	358
-47.7	3.8
-49.6	6.2
-69.6	358.3
-56.1	332
-62.6	356.4
-63.9	346.2
-64.3	359.6
-76.6	131
-65	11.9
-72.1	6.5
-52.6	22.4
-55.6	34.4
-77.8	304
-66.6	23.9
-73.7	33.3
-39.8	285.7
-59.6	323.8
-75.5	14.2
-72	6.6
-56.7	2.6
-84.4	8.7
-67.8	24.6
-69.5	10.8
-79.3	16.4
-64.6	18.2
-65.4	26.7
-67.2	35.4
-52	100.7
-77.6	41.2
-60	6.2
-66.1	38.5
-59.6	34.4
-77.7	350.8
-74.9	326
-57.2	37.1
-60.8	29.5
-52.9	9.6
-75.2	9.4
-60.4	22.3
-60.5	1.7
-72.54	2.63
-78.14	2.63
-63.17	109.68
-73.07	354
75.27	173.3
69.52	173.53
48.4	134.43
68.19	140.23
56.93	193.6
48.7	178.36
71.72	177.11
68.22	176.29
69.85	198.78
59	185.5
67.96	180.88
54.53	188.27
81.02	160.99
81.71	152.27
78.38	145.84